,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
2345,Jim Krebs,Center,1957,6-8,Southern Methodist University,"Webster Groves, Missouri","September 8, 1935",Minneapolis Lakers,3rd overall,"Webster Groves in Webster Groves, Missouri"
2346,Wayne Kreklow,Shooting Guard,1979,6-4,Drake University,"Neenah, Wisconsin","January 4, 1957",Boston Celtics,53rd overall,"Neenah in Neenah, Wisconsin"
2348,Tom Kropp,Shooting Guard,1975,6-3,University of Nebraska at Kearney,"Grand Island, Nebraska","February 12, 1953",Washington Bullets,48th overall,"Aurora in Aurora, Nebraska"
2350,Larry Krystkowiak,Power Forward,1986,6-9,University of Montana,"Missoula, Montana","September 23, 1964",Chicago Bulls,28th overall,"Big Sky in Missoula, Montana"
2351,Steve Kuberski,Center and Power Forward and Small Forward,1969,6-8,Bradley University,"Moline, Illinois","November 6, 1947",Boston Celtics,52nd overall,"Moline in Moline, Illinois"
2353,Bruce Kuczenski,Power Forward,1983,6-10,University of Connecticut,"Bristol, Connecticut","February 3, 1961",New Jersey Nets,59th overall,"Central in Bristol, Connecticut"
2355,John Kuester,Point Guard,1977,6-2,University of North Carolina,"Richmond, Virginia","February 6, 1955",Kansas City Kings,53rd overall,"Benedictine in Richmond, Virginia"
2358,Kevin Kunnert,Center,1973,7-0,University of Iowa,"Dubuque, Iowa","November 11, 1951",Chicago Bulls,12th overall,"Wahlert in Dubuque, Iowa"
2360,Mitch Kupchak,Center and Power Forward,1976,6-9,University of North Carolina,"Hicksville, New York","May 24, 1954",Washington Bullets,13th overall,"Brentwood in Brentwood, New York"
2361,C.J. Kupec,Small Forward,1975,6-6,University of Michigan,"Oak Lawn, Illinois","January 16, 1953",Los Angeles Lakers,56th overall,"Community in Oak Lawn, Illinois"
2365,Kyle Kuzma,Power Forward,2017,6-9,University of Utah,"Flint, Michigan","July 24, 1995",Brooklyn Nets,27th overall,"Rise Academy in Philadelphia, Pennsylvania"
2368,Skal Labissiere,Power Forward,2016,6-11,University of Kentucky,"Port-au-Prince, Haiti","March 18, 1996",Phoenix Suns,28th overall,"Lausanne Collegiate School in Memphis, Tennessee"
2370,Edgar Lacey,Small Forward,1967,6-6,"University of California, Los Angeles","Los Angeles, California","August 2, 1944",Boston Celtics,76th overall,"Jefferson in Los Angeles, California"
2371,Sam Lacey,Center,1970,6-10,New Mexico State University,"Indianola, Mississippi","March 28, 1948",Cincinnati Royals,5th overall,"Gentry in Indianola, Mississippi"
2372,Bob Lackey,Shooting Guard,1972,6-5,Marquette University,"Evanston, Illinois","April 4, 1949",Atlanta Hawks,71st overall,"Evanston Township in Evanston, Illinois"
2375,Christian Laettner,Center and Power Forward,1992,6-11,Duke University,"Angola, New York","August 17, 1969",Minnesota Timberwolves,3rd overall,"Nichols School in Buffalo, New York"
2377,Raef LaFrentz,Power Forward and Center,1998,6-11,University of Kansas,"Hampton, Iowa","May 29, 1976",Denver Nuggets,3rd overall,"MFL MarMac in Monona, Iowa"
2378,Tom LaGarde,Center,1977,6-10,University of North Carolina,"Detroit, Michigan","February 10, 1955",Denver Nuggets,9th overall,"Central Catholic in Detroit, Michigan"
2379,Bill Laimbeer,Center,1979,6-11,University of Notre Dame,"Boston, Massachusetts","May 19, 1957",Cleveland Cavaliers,65th overall,"Palos Verdes in Palos Verdes, California"
2381,Bo Lamar,Shooting Guard and Point Guard,1973,6-1,University of Louisiana at Lafayette,"Columbus, Ohio","April 7, 1951",Detroit Pistons,44th overall,"East in Columbus, Ohio"
2382,Doron Lamb,Shooting Guard,2012,6-4,University of Kentucky,"Queens, New York","November 6, 1991",Milwaukee Bucks,42nd overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
2383,Jeremy Lamb,Small Forward and Shooting Guard,2012,6-5,University of Connecticut,"Henrico, Virginia","May 30, 1992",Houston Rockets,12th overall,"Norcross in Norcross, Georgia"
2384,John Lambert,Power Forward,1975,6-10,University of Southern California,"Berkeley, California","January 14, 1953",Cleveland Cavaliers,15th overall,"Berkeley in Berkeley, California"
2385,Jeff Lamp,Small Forward,1981,6-6,University of Virginia,"Minneapolis, Minnesota","March 9, 1959",Portland Trail Blazers,15th overall,"Ballard in Louisville, Kentucky"
2387,Jim Lampley,Center,1983,6-10,"Vanderbilt University, University of Arkansas at Little Rock","Harrisburg, Pennsylvania","July 2, 1960",Dallas Mavericks,102nd overall,"Passaic County Technical Institute in Wayne, New Jersey"
2388,Sean Lampley,Small Forward,2001,6-7,University of California,"Harvey, Illinois","September 3, 1979",Chicago Bulls,45th overall,"Saint Francis DeSales in Chicago, Illinois"
2389,Carl Landry,Power Forward,2007,6-9,Purdue University,"Milwaukee, Wisconsin","September 19, 1983",Seattle SuperSonics,31st overall,"Vincent in Milwaukee, Wisconsin"
2391,Mark Landsberger,Power Forward and Center,1977,6-8,"University of Minnesota, Arizona State University","Minot, North Dakota","May 21, 1955",Chicago Bulls,35th overall,"Mounds View in Saint Paul, Minnesota"
2392,Jerome Lane,Power Forward,1988,6-6,University of Pittsburgh,"Akron, Ohio","December 4, 1966",Denver Nuggets,23rd overall,"Saint Vincent-Saint Mary in Akron, Ohio"
2393,Andrew Lang,Center,1988,6-11,University of Arkansas,"Pine Bluff, Arkansas","June 28, 1966",Phoenix Suns,28th overall,"Dollarway in Pine Bluff, Arkansas"
2394,Antonio Lang,Power Forward and Small Forward,1994,6-8,Duke University,"Mobile, Alabama","May 15, 1972",Phoenix Suns,29th overall,"LeFlore Magnet in Mobile, Alabama"
2396,Trajan Langdon,Shooting Guard,1999,6-3,Duke University,"Palo Alto, California","May 13, 1976",Cleveland Cavaliers,11th overall,"Anchorage East in Anchorage, Alaska"
2398,Dan Langhi,Small Forward,2000,6-11,Vanderbilt University,"Chicago, Illinois","November 28, 1977",Dallas Mavericks,31st overall,"Marshall County in Benton, Kentucky"
2399,Bob Lanier,Center,1970,6-11,St. Bonaventure University,"Buffalo, New York","September 10, 1948",Detroit Pistons,1st overall,"Bennett in Buffalo, New York"
2400,Stu Lantz,Point Guard and Shooting Guard,1968,6-3,University of Nebraska,"Uniontown, Pennsylvania","July 13, 1946",San Diego Rockets,23rd overall,"Uniontown in Uniontown, Pennsylvania"
2402,York Larese,Shooting Guard,1960,6-4,University of North Carolina,"New York, New York","July 18, 1938",St. Louis Hawks,46th overall,"Saint Ann's Academy in New York, New York"
2403,Shane Larkin,Point Guard,2013,5-11,University of Miami,"Cincinnati, Ohio","October 2, 1992",Atlanta Hawks,18th overall,"Dr. Phillips in Orlando, Florida"
2405,Rudy LaRusso,Power Forward and Small Forward,1959,6-7,Dartmouth College,"Brooklyn, New York","November 11, 1937",Minneapolis Lakers,10th overall,"James Madison in Brooklyn, New York"
2406,John Laskowski,Shooting Guard,1975,6-6,Indiana University,"South Bend, Indiana","June 7, 1953",Chicago Bulls,32nd overall,"Saint Joseph in South Bend, Indiana"
2407,Stephane Lasme,Power Forward and Small Forward,2007,6-8,University of Massachusetts Amherst,"Port-Gentil, Gabon","December 17, 1982",Golden State Warriors,46th overall,"Leon Mba in Libreville, Gabon"
2408,Dave Lattin,Power Forward,1967,6-6,University of Texas at El Paso,"Houston, Texas","December 23, 1943",San Francisco Warriors,10th overall,"Evan E. Worthing in Houston, Texas"
2409,Priest Lauderdale,Center,1996,7-4,Central State University,"Chicago, Illinois","August 31, 1973",Atlanta Hawks,28th overall,"Carver in Chicago, Illinois"
2410,Rich Laurel,Shooting Guard,1977,6-6,Hofstra University,"Philadelphia, Pennsylvania","July 11, 1954",Portland Trail Blazers,19th overall,"Overbrook in Philadelphia, Pennsylvania"
2414,Tony Lavelli,Forward,1949,6-3,Yale University,"Somerville, Massachusetts","July 11, 1926",Boston Celtics,4th overall,"Somerville in Somerville, Massachusetts"
2415,Zach LaVine,Point Guard and Shooting Guard,2014,6-5,"University of California, Los Angeles","Renton, Washington","March 10, 1995",Minnesota Timberwolves,13th overall,"Bothell in Bothell, Washington"
2416,Bob Lavoy,Power Forward,1950,6-7,Western Kentucky University,"Aurora, Illinois","June 29, 1926",Indianapolis Olympians,8th overall,"East Aurora in Aurora, Illinois"
2417,Acie Law,Point Guard,2007,6-3,Texas A&M University,"Dallas, Texas","January 25, 1985",Atlanta Hawks,11th overall,"Justin F. Kimball in Dallas, Texas"
2418,Gani Lawal,Power Forward,2010,6-9,Georgia Institute of Technology,"College Park, Georgia","November 7, 1988",Phoenix Suns,46th overall,"Norcross in Norcross, Georgia"
2419,Edmund Lawrence,Center,1976,7-0,McNeese State University,"Lake Charles, Louisiana","December 8, 1952",Cleveland Cavaliers,84th overall,"W.O. Boston in Lake Charles, Louisiana"
2420,Jason Lawson,Center,1997,6-11,Villanova University,"Philadelphia, Pennsylvania","September 2, 1974",Denver Nuggets,41st overall,"Olney in Philadelphia, Pennsylvania"
2421,Ty Lawson,Point Guard,2009,5-11,University of North Carolina,"Clinton, Maryland","November 3, 1987",Minnesota Timberwolves,18th overall,"Oak Hill Academy in Mouth of Wilson, Virginia"
2422,Jake Layman,Small Forward,2016,6-9,University of Maryland,"Norwood, Massachusetts","March 7, 1994",Orlando Magic,47th overall,"King Philip Regional in Wrentham, Massachusetts"
2423,Mo Layton,Point Guard and Shooting Guard,1971,6-1,University of Southern California,"Newark, New Jersey","December 24, 1948",Phoenix Suns,48th overall,"Weequahic in Newark, New Jersey"
2424,T.J. Leaf,Power Forward,2017,6-10,"University of California, Los Angeles","Tel Aviv, Israel","April 30, 1997",Indiana Pacers,18th overall,"Foothills Christian in El Cajon, California"
2425,Manny Leaks,Center,1968,6-8,Niagara University,"Cleveland, Ohio","November 27, 1945",Detroit Pistons,20th overall,"East in Cleveland, Ohio"
2426,Hal Lear,Guard,1956,6-0,Temple University,"Philadelphia, Pennsylvania","January 31, 1935",Philadelphia Warriors,7th overall,"Overbrook in Philadelphia, Pennsylvania"
2427,Allen Leavell,Point Guard and Shooting Guard,1979,6-1,Oklahoma City University,"Muncie, Indiana","May 27, 1957",Houston Rockets,104th overall,"Muncie Central in Muncie, Indiana"
2429,Eric Leckner,Center,1988,6-11,University of Wyoming,"Inglewood, California","May 27, 1966",Utah Jazz,17th overall,"Mira Costa in Manhattan Beach, California"
2431,Butch Lee,Point Guard,1978,6-0,Marquette University,"Santurce, Puerto Rico","December 5, 1956",Atlanta Hawks,10th overall,"DeWitt Clinton in Bronx, New York"
2432,Clyde Lee,Center and Power Forward,1966,6-10,Vanderbilt University,"Nashville, Tennessee","March 14, 1944",San Francisco Warriors,3rd overall,"David Lipscomb in Nashville, Tennessee"
2433,Courtney Lee,Shooting Guard,2008,6-5,Western Kentucky University,"Indianapolis, Indiana","October 3, 1985",Orlando Magic,22nd overall,"Pike in Indianapolis, Indiana"
2436,David Lee,Power Forward and Center and Small Forward,2005,6-9,University of Florida,"St. Louis, Missouri","April 29, 1983",New York Knicks,30th overall,"Chaminade College Preparatory School in St. Louis, Missouri"
2438,Doug Lee,Shooting Guard,1987,6-5,"Texas A&M University, Purdue University","Washington, Illinois","October 24, 1964",Houston Rockets,35th overall,"Washington in Washington, Illinois"
2440,Greg Lee,Point Guard,1974,6-3,"University of California, Los Angeles","Reseda, California","December 12, 1951",Atlanta Hawks,115th overall,"Reseda in Reseda, California"
2441,Keith Lee,Power Forward,1985,6-10,University of Memphis,"West Memphis, Arkansas","December 28, 1962",Chicago Bulls,11th overall,"West Memphis in West Memphis, Arkansas"
2443,Malcolm Lee,Shooting Guard,2011,6-5,"University of California, Los Angeles","Riverside, California","May 22, 1990",Chicago Bulls,43rd overall,"John W. North in Riverside, California"
2445,Ron Lee,Point Guard,1976,6-4,University of Oregon,"Boston, Massachusetts","November 2, 1952",Phoenix Suns,10th overall,"Lexington in Lexington, Massachusetts"
2446,Russ Lee,Small Forward,1972,6-5,Marshall University,"Boston, Massachusetts","January 27, 1950",Milwaukee Bucks,6th overall,"Hyde Park in Boston, Massachusetts"
2453,Voshon Lenard,Shooting Guard,1994,6-4,University of Minnesota,"Detroit, Michigan","May 14, 1973",Milwaukee Bucks,46th overall,"Southwestern in Detroit, Michigan"
2455,Gary Leonard,Center,1989,7-1,University of Missouri,"Belleville, Illinois","February 16, 1967",Minnesota Timberwolves,34th overall,"East in Belleville, Illinois"
2456,Kawhi Leonard,Small Forward,2011,6-7,San Diego State University,"Riverside, California","June 29, 1991",Indiana Pacers,15th overall,"King in Riverside, California"
2457,Meyers Leonard,Power Forward and Center,2012,7-1,University of Illinois at Urbana-Champaign,"Robinson, Illinois","February 27, 1992",Portland Trail Blazers,11th overall,"Robinson in Robinson, Illinois"
2458,Slick Leonard,Point Guard,1954,6-3,Indiana University,"Terre Haute, Indiana","July 17, 1932",Baltimore Bullets,10th overall,"Gerstmeyer in Terre Haute, Indiana"
2459,Jim Les,Point Guard,1986,5-11,"Cleveland State University, Bradley University","Niles, Illinois","August 18, 1963",Atlanta Hawks,70th overall,"Notre Dame in Niles, Illinois"
2460,Travis Leslie,Shooting Guard,2011,6-4,University of Georgia,"Atlanta, Georgia","March 29, 1990",Los Angeles Clippers,47th overall,"Columbia in Decatur, Georgia"
2461,Ronnie Lester,Point Guard,1980,6-2,University of Iowa,"Canton, Mississippi","January 1, 1959",Portland Trail Blazers,10th overall,"Dunbar in Chicago, Illinois"
2463,Jon Leuer,Center and Power Forward,2011,6-10,University of Wisconsin,"Long Lake, Minnesota","May 14, 1989",Milwaukee Bucks,40th overall,"Orono in Orono, Minnesota"
2465,Fat Lever,Point Guard and Shooting Guard,1982,6-3,Arizona State University,"Pine Bluff, Arkansas","August 18, 1960",Portland Trail Blazers,11th overall,"Pueblo in Tucson, Arizona"
2466,Caris LeVert,Small Forward,2016,6-7,University of Michigan,"Columbus, Ohio","August 25, 1994",Indiana Pacers,20th overall,"Central in Pickerington, Ohio"
2467,Cliff Levingston,Power Forward,1982,6-8,Wichita State University,"San Diego, California","January 4, 1961",Detroit Pistons,9th overall,"Samuel F.B. Morse in San Diego, California"
2471,Freddie Lewis,Point Guard and Shooting Guard,1966,6-0,Arizona State University,"Huntington, West Virginia","July 1, 1943",Cincinnati Royals,88th overall,"McKeesport in McKeesport, Pennsylvania"
2473,Martin Lewis,Small Forward,1995,6-5,"Butler County Community College, Seward County Community College","Liberal, Kansas","April 28, 1975",Golden State Warriors,50th overall,"Liberal in Liberal, Kansas"
2474,Mike Lewis,Center,1968,6-8,Duke University,"Missoula, Montana","March 18, 1946",Boston Celtics,88th overall,"Missoula in Missoula, Montana"
2475,Quincy Lewis,Shooting Guard and Small Forward,1999,6-7,University of Minnesota,"Little Rock, Arkansas","June 26, 1977",Utah Jazz,19th overall,"Parkview in Little Rock, Arkansas"
2476,Ralph Lewis,Small Forward and Shooting Guard,1985,6-6,La Salle University,"Philadelphia, Pennsylvania","March 28, 1963",Boston Celtics,139th overall,"Frankford in Philadelphia, Pennsylvania"
2478,Reggie Lewis,Small Forward and Shooting Guard,1987,6-7,Northeastern University,"Baltimore, Maryland","November 21, 1965",Boston Celtics,22nd overall,"Paul Laurence Dunbar in Baltimore, Maryland"
2479,Marcus Liberty,Small Forward,1990,6-8,University of Illinois at Urbana-Champaign,"Chicago, Illinois","October 27, 1968",Denver Nuggets,42nd overall,"Martin Luther King in Chicago, Illinois"
2480,Todd Lichti,Shooting Guard,1989,6-4,Stanford University,"Walnut Creek, California","January 8, 1967",Denver Nuggets,15th overall,"Mount Diablo in Concord, California"
2482,DeAndre Liggins,Shooting Guard and Small Forward,2011,6-6,University of Kentucky,"Chicago, Illinois","March 31, 1988",Orlando Magic,53rd overall,"Findlay College Prep in Las Vegas, Nevada"
2483,Bill Ligon,Shooting Guard,1974,6-4,Vanderbilt University,"Nashville, Tennessee","May 29, 1952",Detroit Pistons,175th overall,"Gallatin Union in Nashville, Tennessee"
2485,Damian Lillard,Point Guard,2012,6-3,Weber State University,"Oakland, California","July 15, 1990",Portland Trail Blazers,6th overall,"Oakland in Oakland, California"
2487,Steve Lingenfelter,Power Forward,1981,6-9,"University of Minnesota, South Dakota State University","Eau Claire, Wisconsin","June 10, 1958",Washington Bullets,44th overall,"Thomas Jefferson in Bloomington, Minnesota"
2488,Alton Lister,Center and Power Forward,1981,7-0,Arizona State University,"Dallas, Texas","October 1, 1958",Milwaukee Bucks,21st overall,"Woodrow Wilson in Dallas, Texas"
2490,Gene Littles,Point Guard,1969,6-0,High Point University,"Washington, District of Columbia","June 29, 1943",New York Knicks,68th overall,"McKinley in Washington, District of Columbia"
2491,Randy Livingston,Point Guard,1996,6-4,Louisiana State University,"New Orleans, Louisiana","April 2, 1975",Houston Rockets,42nd overall,"Isidore Newman School in New Orleans, Louisiana"
2495,Bobby Lloyd,Point Guard,1967,6-2,Rutgers University,"Upper Darby, Pennsylvania","January 3, 1946",Detroit Pistons,69th overall,"Upper Darby in Upper Darby, Pennsylvania"
2498,Lewis Lloyd,Shooting Guard,1981,6-6,Drake University,"Philadelphia, Pennsylvania","February 22, 1959",Golden State Warriors,76th overall,"Overbrook in Philadelphia, Pennsylvania"
2499,Scott Lloyd,Power Forward and Center,1976,6-10,Arizona State University,"Chicago, Illinois","December 19, 1952",Milwaukee Bucks,24th overall,"East in Phoenix, Arizona"
2502,Rob Lock,Power Forward,1988,6-9,University of Kentucky,"Reedley, California","May 22, 1966",Los Angeles Clippers,51st overall,"Reedley in Reedley, California"
2503,Darrell Lockhart,Center,1983,6-9,Auburn University,"Thomaston, Georgia","September 14, 1960",San Antonio Spurs,35th overall,"Robert E. Lee in Thomaston, Georgia"
2505,Kevin Loder,Small Forward,1981,6-6,"Kentucky State University, Alabama State University","Cassopolis, Michigan","March 15, 1959",Kansas City Kings,17th overall,"Ross Beatty in Cassopolis, Michigan"
2506,Don Lofgran,Small Forward,1950,6-5,University of San Francisco,"Oakland, California","November 8, 1929",Syracuse Nationals,11th overall,"Oakland in Oakland, California"
2508,Henry Logan,Shooting Guard and Point Guard,1968,6-0,Western Carolina University,"Asheville, North Carolina","March 14, 1946",Seattle SuperSonics,38th overall,"Stephens-Lee in Asheville, North Carolina"
2510,Brad Lohaus,Power Forward,1987,6-11,University of Iowa,"New Ulm, Minnesota","September 29, 1964",Boston Celtics,45th overall,"Greenway in Phoenix, Arizona"
2512,Grant Long,Power Forward,1988,6-8,Eastern Michigan University,"Wayne, Michigan","March 12, 1966",Miami Heat,33rd overall,"Romulus in Romulus, Michigan"
2513,John Long,Shooting Guard,1978,6-5,University of Detroit Mercy,"Romulus, Michigan","August 28, 1956",Detroit Pistons,29th overall,"Romulus in Romulus, Michigan"
2514,Paul Long,Shooting Guard,1966,6-2,Wake Forest University,"Louisville, Kentucky","February 8, 1944",St. Louis Hawks,106th overall,"Waggener in Louisville, Kentucky"
2516,Willie Long,Power Forward and Small Forward,1971,6-8,University of New Mexico,"Fort Wayne, Indiana","March 1, 1950",Cleveland Cavaliers,35th overall,"South Side in Fort Wayne, Indiana"
2517,Luc Longley,Center,1991,7-2,University of New Mexico,"Melbourne, Australia","January 19, 1969",Minnesota Timberwolves,7th overall,"Scotch College in Perth, Australia"
2518,Kevon Looney,Center and Power Forward,2015,6-9,"University of California, Los Angeles","Milwaukee, Wisconsin","February 6, 1996",Golden State Warriors,30th overall,"Hamilton in Milwaukee, Wisconsin"
2519,Brook Lopez,Center,2008,7-0,Stanford University,"North Hollywood, California","April 1, 1988",New Jersey Nets,10th overall,"San Joaquin Memorial in Fresno, California"
2520,Felipe Lopez,Shooting Guard and Point Guard,1998,6-5,St. John's University,"Santo Domingo, Dominican Republic","December 19, 1974",San Antonio Spurs,24th overall,"Rice in New York, New York"
2522,Robin Lopez,Center,2008,7-0,Stanford University,"North Hollywood, California","April 1, 1988",Phoenix Suns,15th overall,"San Joaquin Memorial in Fresno, California"
2524,Jim Loscutoff,Small Forward,1955,6-5,University of Oregon,"San Francisco, California","February 4, 1930",Boston Celtics,3rd overall,"Palo Alto in Palo Alto, California"
2526,Kevin Loughery,Shooting Guard and Point Guard,1961,6-3,"Boston College, St. John's University","Brooklyn, New York","March 28, 1940",New York Knicks,92nd overall,"Cardinal Hayes in Bronx, New York"
2527,Bob Love,Power Forward and Small Forward,1965,6-8,Southern University and A&M College,"Bastrop, Louisiana","December 8, 1942",Cincinnati Royals,33rd overall,"Moorehouse in Delhi, Louisiana"
2528,Kevin Love,Center and Power Forward,2008,6-10,"University of California, Los Angeles","Santa Monica, California","September 7, 1988",Memphis Grizzlies,5th overall,"Lake Oswego in Lake Oswego, Oregon"
2529,Stan Love,Power Forward,1971,6-9,University of Oregon,"Los Angeles, California","April 9, 1949",Baltimore Bullets,9th overall,"Morningside in Inglewood, California"
2530,Clyde Lovellette,Center,1952,6-9,University of Kansas,"Petersburg, Indiana","September 7, 1929",Minneapolis Lakers,9th overall,"Garfield in Terre Haute, Indiana"
2531,Sidney Lowe,Shooting Guard and Point Guard,1983,6-0,North Carolina State University,"Washington, District of Columbia","January 21, 1960",Chicago Bulls,25th overall,"DeMatha Catholic in Hyattsville, Maryland"
2533,Kyle Lowry,Point Guard,2006,6-1,Villanova University,"Philadelphia, Pennsylvania","March 25, 1986",Memphis Grizzlies,24th overall,"Cardinal Dougherty in Philadelphia, Pennsylvania"
2537,John Lucas,Shooting Guard and Point Guard,1976,6-3,University of Maryland,"Durham, North Carolina","October 31, 1953",Houston Rockets,1st overall,"Hillside in Durham, North Carolina"
2539,Maurice Lucas,Center and Power Forward,1974,6-9,Marquette University,"Pittsburgh, Pennsylvania","February 18, 1952",Chicago Bulls,14th overall,"Schenley in Pittsburgh, Pennsylvania"
2542,Tyronn Lue,Point Guard,1998,6-0,University of Nebraska,"Mexico, Missouri","May 3, 1977",Denver Nuggets,23rd overall,"Raytown in Kansas City, Missouri"
2545,Phil Lumpkin,Point Guard,1974,6-0,Miami University,"Dayton, Ohio","December 20, 1951",Portland Trail Blazers,34th overall,"Roth in Dayton, Ohio"
2548,Tyler Lydon,Power Forward,2017,6-10,Syracuse University,"Hudson, New York","April 9, 1996",Utah Jazz,24th overall,"New Hampton in New Hampton, New Hampshire"
2549,Trey Lyles,Power Forward,2015,6-10,University of Kentucky,"Saskatoon, Canada","November 5, 1995",Utah Jazz,12th overall,"Arsenal Tech in Indianapolis, Indiana"
2551,George Lynch,Small Forward and Shooting Guard,1993,6-8,University of North Carolina,"Roanoke, Virginia","September 3, 1970",Los Angeles Lakers,12th overall,"Flint Hill School in Oakton, Virginia"
2552,Kevin Lynch,Shooting Guard,1991,6-5,University of Minnesota,"Bloomington, Minnesota","December 24, 1968",Charlotte Hornets,28th overall,"Thomas Jefferson in Bloomington, Minnesota"
2553,Lonnie Lynn,Small Forward,1966,6-7,Wilberforce University,"Chicago, Illinois","May 24, 1943",St. Louis Hawks,99th overall,"DuSable in Chicago, Illinois"
2554,Mike Lynn,Small Forward,1967,6-7,"University of California, Los Angeles","Covina, California","November 25, 1945",San Francisco Warriors,51st overall,"Covina in Covina, California"
2558,Todd MacCulloch,Center,1999,7-0,University of Washington,"Winnipeg, Canada","January 27, 1976",Philadelphia 76ers,47th overall,"Shaftesbury in Winnipeg, Canada"
2562,Ollie Mack,Shooting Guard,1979,6-3,East Carolina University,"New York, New York","June 6, 1957",Los Angeles Lakers,25th overall,"William Cullen Bryant in Long Island City, New York"
2564,Shelvin Mack,Shooting Guard and Point Guard,2011,6-3,Butler University,"Lexington, Kentucky","April 22, 1990",Washington Wizards,34th overall,"Bryan Station in Lexington, Kentucky"
2565,Malcolm Mackey,Center,1993,6-9,Georgia Institute of Technology,"Chattanooga, Tennessee","July 11, 1970",Phoenix Suns,27th overall,"Brainerd in Chattanooga, Tennessee"
2566,Rudy Macklin,Small Forward,1981,6-7,Louisiana State University,"Louisville, Kentucky","February 19, 1958",Atlanta Hawks,52nd overall,"Shawnee in Louisville, Kentucky"
2567,Vernon Macklin,Center,2011,6-10,"Georgetown University, University of Florida","Portsmouth, Virginia","September 20, 1986",Detroit Pistons,52nd overall,"Hargrave Military Academy in Chatham, Virginia"
2569,Don MacLean,Power Forward and Small Forward,1992,6-10,"University of California, Los Angeles","Palo Alto, California","January 16, 1970",Detroit Pistons,19th overall,"Simi Valley in Simi Valley, California"
2571,Mark Macon,Shooting Guard and Point Guard,1991,6-5,Temple University,"Saginaw, Michigan","April 14, 1969",Denver Nuggets,8th overall,"Buena Vista in Saginaw, Michigan"
2573,Kyle Macy,Point Guard,1979,6-3,"Purdue University, University of Kentucky","Fort Wayne, Indiana","April 9, 1957",Phoenix Suns,22nd overall,"Peru in Peru, Indiana"
2575,Tito Maddox,Shooting Guard,2002,6-4,"California State University, Fresno","Compton, California","June 7, 1981",Houston Rockets,38th overall,"Compton in Compton, California"
2577,Mark Madsen,Center and Power Forward,2000,6-9,Stanford University,"Walnut Creek, California","January 28, 1976",Los Angeles Lakers,29th overall,"San Ramon Valley in Danville, California"
2580,Corey Maggette,Power Forward and Shooting Guard and Small Forward,1999,6-6,Duke University,"Melrose Park, Illinois","November 12, 1979",Seattle SuperSonics,13th overall,"Fenwick in Oak Park, Illinois"
2581,Dave Magley,Small Forward,1982,6-8,University of Kansas,"South Bend, Indiana","November 24, 1959",Cleveland Cavaliers,28th overall,"LaSalle in South Bend, Indiana"
2582,Jamaal Magloire,Center,2000,6-11,University of Kentucky,"Toronto, Canada","May 21, 1978",Charlotte Hornets,19th overall,"Eastern School of Commerce in Toronto, Canada"
2583,Randolph Mahaffey,Power Forward and Small Forward,1967,6-7,Clemson University,"LaGrange, Georgia","September 28, 1945",Los Angeles Lakers,16th overall,"LaGrange in LaGrange, Georgia"
2588,Rick Mahorn,Power Forward and Center,1980,6-10,Hampton University,"Hartford, Connecticut","September 21, 1958",Washington Bullets,35th overall,"Weaver in Hartford, Connecticut"
2589,Dan Majerle,Small Forward and Shooting Guard,1988,6-6,Central Michigan University,"Traverse City, Michigan","September 9, 1965",Phoenix Suns,14th overall,"Traverse City in Traverse City, Michigan"
2593,Jeff Malone,Shooting Guard,1983,6-4,Mississippi State University,"Mobile, Alabama","June 28, 1961",Washington Bullets,10th overall,"Southwest in Macon, Georgia"
2594,Karl Malone,Power Forward,1985,6-9,Louisiana Tech University,"Summerfield, Louisiana","July 24, 1963",Utah Jazz,13th overall,"Summerfield in Summerfield, Louisiana"
2597,Steve Malovic,Power Forward,1978,6-10,"University of Southern California, San Diego State University","Cleveland, Ohio","July 21, 1956",Phoenix Suns,149th overall,"Alhambra in Phoenix, Arizona"
2598,Mike Maloy,Power Forward,1970,6-7,Davidson College,"New York, New York","May 10, 1949",Boston Celtics,157th overall,"William Cullen Bryant in Long Island City, New York"
2602,Danny Manning,Power Forward,1988,6-10,University of Kansas,"Hattiesburg, Mississippi","May 17, 1966",Los Angeles Clippers,1st overall,"Lawrence in Lawrence, Kansas"
2604,Guy Manning,Small Forward,1966,6-6,Prairie View A&M University,"Oakwood, Texas","February 4, 1944",Baltimore Bullets,87th overall,"Butler in Oakwood, Texas"
2605,Rich Manning,Power Forward,1993,6-11,"Syracuse University, University of Washington","Tacoma, Washington","June 23, 1970",Atlanta Hawks,40th overall,"Center in North Highlands, California"
2606,Pace Mannion,Small Forward,1983,6-7,University of Utah,"Salt Lake City, Utah","September 22, 1960",Golden State Warriors,43rd overall,"Chaparral in Las Vegas, Nevada"
2607,Nick Mantis,Shooting Guard,1959,6-3,Northwestern University,"East Chicago, Indiana","December 7, 1935",St. Louis Hawks,37th overall,"Washington in East Chicago, Indiana"
2608,Pete Maravich,Shooting Guard,1970,6-5,Louisiana State University,"Aliquippa, Pennsylvania","June 22, 1947",Atlanta Hawks,3rd overall,"Edward Military Institute in Salemberg, North Carolina"
2610,Devyn Marble,Shooting Guard,2014,6-6,University of Iowa,"Southfield, Michigan","September 21, 1992",Denver Nuggets,56th overall,"Lathrup in Southfield, Michigan"
